ecosystem,name,version,dep_type,tree,declared_in,status,eol_date,last_publish,deprecated,risk,notes
pypi,jinja2,==3.1.6,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-03-05,false,docs-python,
pypi,markdown,==3.10.2,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-30,false,docs-python,
pypi,markdown-inline-graphviz-extension,==1.1.2,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-07-25,false,docs-python,
pypi,markupsafe,==2.1.5,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-09-27,false,docs-python,
pypi,mkdocs-material,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-17,false,docs-python,unpinned
pypi,mkdocs-monorepo-plugin,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-06-05,false,docs-python,unpinned
pypi,mkdocs-techdocs-core,==1.6.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-06-10,false,docs-python,
pypi,packaging,==24.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-04,false,docs-python,
pypi,pathspec,==0.12.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-04-27,false,docs-python,
pypi,platformdirs,==3.11.0,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-13,false,docs-python,
pypi,pluggy,==1.5.0,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-05-15,false,docs-python,
pypi,pygments,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-17,false,docs-python,unpinned
pypi,pymdown-extensions,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-02,false,docs-python,unpinned
pypi,pyyaml,==6.0.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-09-25,false,docs-python,
pypi,pyyaml-env-tag,==0.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-05-13,false,docs-python,
pypi,regex,==2023.12.25,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-19,false,docs-python,
pypi,requests,==2.32.4,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-05-14,false,docs-python,
pypi,setuptools,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-08,false,docs-python,unpinned
pypi,setuptools_scm,<8.0,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-21,false,docs-python,
pypi,tomli,==2.0.1,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-03-25,false,docs-python,
pypi,trove-classifiers,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-06-01,false,docs-python,unpinned
pypi,typing-extensions,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-02,false,docs-python,unpinned
pypi,urllib3,==2.2.2,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-05-07,false,docs-python,
pypi,wheel,==0.46.3,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-11,false,docs-python,
